locationCode,lat,lon,depth,active_status,locationName
BACAX,48.316758,-126.050183,981.0,False, Barkley Canyon Axis
BACND,48.345501,-126.158262,649.0,False, Barkley Node
BACNH.H1,48.345174,-126.157316,641.0,True, Barkley Node Hydrophone A
BACNH.H2,48.345174,-126.157316,641.0,True, Barkley Node Hydrophone B
BACNH.H3,48.345174,-126.157316,641.0,True, Barkley Node Hydrophone C
BACNH.H4,48.345174,-126.157316,641.0,True, Barkley Node Hydrophone D
BACUS,48.426363,-126.174397,391.0,True, Barkley Upper Slope
BACUS.H1,48.426393,-126.174394,394.0,False, Barkley Upper Slope Hydrophone A
BACUS.H2,48.426393,-126.174394,394.0,False, Barkley Upper Slope Hydrophone B
BACVP,48.427373,-126.174127,21.98,False, Barkley Upper Slope Vertical Profiler
BIIP,49.30105,-123.108889,38.0,True, Burrard Inlet
CBCH.H1,47.756974,-127.731375,2656.0,True, Cascadia Basin Hydrophone A
CBCH.H2,47.756974,-127.731375,2656.0,True, Cascadia Basin Hydrophone B
CBCH.H3,47.756974,-127.731375,2656.0,True, Cascadia Basin Hydrophone C
CBCH.H4,47.756974,-127.731375,2656.0,True, Cascadia Basin Hydrophone D
CBYIP,69.112468,-105.063225,13.0,True, Cambridge Bay
CCIP,49.153724,-124.802297,110.0,True, China Creek
CQS64.H1,48.699407,-126.872425,1315.0,False, Clayoquot Slope 64 Hydrophone A
CQS64.H2,48.699407,-126.872425,1315.0,False, Clayoquot Slope 64 Hydrophone B
CQSH.H1,48.699204,-126.872425,1314.0,True, Clayoquot Slope Hydrophone A
CQSH.H2,48.699204,-126.872425,1314.0,True, Clayoquot Slope Hydrophone B
CQSH.H3,48.699204,-126.872425,1314.0,True, Clayoquot Slope Hydrophone C
CQSH.H4,48.699204,-126.872425,1314.0,True, Clayoquot Slope Hydrophone D
CRIP,50.02076,-125.2354,8.0,True, Campbell River
DIIP,54.259018,-130.430427,25.0,True, Digby Island
ECHO1.H1,49.042645,-123.31744,168.0,False,ECHO1.H1
ECHO1.H2,49.042645,-123.31744,168.0,False,ECHO1.H2
ECHO1.H3,49.042645,-123.31744,168.0,False,ECHO1.H3
ECHO1.H4,49.042645,-123.31744,168.0,False,ECHO1.H4
ECHO2.H1,49.043358,-123.317486,166.0,False,ECHO2.H1
ECHO2.H2,49.043358,-123.317486,166.0,False,ECHO2.H2
ECHO2.H3,49.043243,-123.317747,166.0,False,ECHO2.H3
ECHO2.H4,49.043243,-123.317747,166.0,False,ECHO2.H4
ECHO3.H1,49.0433,-123.316108,164.0,True, Strait of Georgia East Hydrophone A
ECHO3.H2,49.0433,-123.316108,164.0,True, Strait of Georgia East Hydrophone B
ECHO3.H3,49.0433,-123.316108,164.0,True, Strait of Georgia East Hydrophone C
ECHO3.H4,49.0433,-123.316108,164.0,True, Strait of Georgia East Hydrophone D
FAE,49.080811,-123.33906,144.0,False, Fish Acoustics Experiment
FGPD,48.813932,-125.280882,100.0,False, Folger Deep
FGPD.H1,48.813824,-125.274707,96.0,True, Folger Deep Hydrophone A
FGPD.H2,48.813824,-125.274707,96.0,True, Folger Deep Hydrophone B
FGPD.H3,48.813824,-125.274707,96.0,True, Folger Deep Hydrophone C
FGPD.H4,48.813824,-125.274707,96.0,True, Folger Deep Hydrophone D
HAK1A,51.71195,-128.235917,79.0,False,HAK1A
HBIP,53.42246,-129.24747,66.0,True, Hartley Bay
